,Name,Global_Sales,Platform,Publisher,Genre
0,Wii Sports,82.74,Wii,Nintendo,Sports
1,Wii Sports Resort,33.0,Wii,Nintendo,Sports
2,Wii Fit,22.72,Wii,Nintendo,Sports
3,Wii Fit Plus,22.0,Wii,Nintendo,Sports
4,FIFA 15,19.02,PS4,Electronic Arts,Sports
5,FIFA 14,17.14,PS3,Electronic Arts,Sports
6,FIFA 16,16.44,PS4,Electronic Arts,Sports
7,Mario & Sonic at the Olympic Games,13.2,Wii,Sega,Sports
8,FIFA 12,13.15,PS3,Electronic Arts,Sports
9,FIFA Soccer 11,12.56,PS3,Electronic Arts,Sports
10,Super Mario Bros.,45.31,NES,Nintendo,Platform
11,New Super Mario Bros.,30.01,DS,Nintendo,Platform
12,New Super Mario Bros. Wii,28.62,Wii,Nintendo,Platform
13,Super Mario World,26.07,SNES,Nintendo,Platform
14,Super Mario Bros. 3,22.48,NES,Nintendo,Platform
15,Super Mario 64,22.310000000000002,N64,Nintendo,Platform
16,Super Mario Land,18.14,GB,Nintendo,Platform
17,Donkey Kong Country,13.530000000000001,SNES,Nintendo,Platform
18,Super Mario Galaxy,11.52,Wii,Nintendo,Platform
19,Super Mario 3D Land,10.79,3DS,Nintendo,Platform
20,Mario Kart Wii,35.82,Wii,Nintendo,Racing
21,Mario Kart DS,23.42,DS,Nintendo,Racing
22,Gran Turismo 3: A-Spec,14.98,PS2,Sony Computer Entertainment,Racing
23,Need for Speed: Most Wanted,14.08,PS2,Electronic Arts,Racing
24,Mario Kart 7,12.21,3DS,Nintendo,Racing
25,Gran Turismo 4,11.66,PS2,Sony Computer Entertainment,Racing
26,Need for Speed Underground 2,10.97,PS2,Electronic Arts,Racing
27,Gran Turismo,10.95,PS,Sony Computer Entertainment,Racing
28,Gran Turismo 5,10.77,PS3,Sony Computer Entertainment,Racing
29,Need for Speed Underground,10.46,PS2,Electronic Arts,Racing
30,Pokemon Red/Pokemon Blue,31.37,GB,Nintendo,Role-Playing
31,Pokemon Gold/Pokemon Silver,23.1,GB,Nintendo,Role-Playing
32,The Elder Scrolls V: Skyrim,19.28,X360,Bethesda Softworks,Role-Playing
33,Pokemon Diamond/Pokemon Pearl,18.36,DS,Nintendo,Role-Playing
34,Pokemon Ruby/Pokemon Sapphire,15.85,GBA,Nintendo,Role-Playing
35,Pokemon Black/Pokemon White,15.32,DS,Nintendo,Role-Playing
36,Pokémon Yellow: Special Pikachu Edition,14.64,GB,Nintendo,Role-Playing
37,Pokemon X/Pokemon Y,14.35,3DS,Nintendo,Role-Playing
38,Fallout 4,12.28,PS4,Bethesda Softworks,Role-Playing
39,Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.33,3DS,Nintendo,Role-Playing
40,Tetris,35.84,GB,Nintendo,Puzzle
41,Brain Age 2: More Training in Minutes a Day,15.3,DS,Nintendo,Puzzle
42,Dr. Mario,10.19,GB,Nintendo,Puzzle
43,Pac-Man,9.03,2600,Atari,Puzzle
44,Professor Layton and the Curious Village,5.26,DS,Nintendo,Puzzle
45,Tetris Worlds,4.01,PS2,THQ,Puzzle
46,Professor Layton and the Diabolical Box,4.0,DS,Nintendo,Puzzle
47,Professor Layton and the Unwound Future,3.36,DS,Nintendo,Puzzle
48,Pac-Man Collection,2.94,GBA,Atari,Puzzle
49,WarioWare: Smooth Moves,2.92,Wii,Nintendo,Puzzle
50,Wii Play,29.02,Wii,Nintendo,Misc
51,Minecraft,23.73,X360,Microsoft Game Studios,Misc
52,Kinect Adventures!,21.82,X360,Microsoft Game Studios,Misc
53,Brain Age: Train Your Brain in Minutes a Day,20.22,DS,Nintendo,Misc
54,Guitar Hero III: Legends of Rock,16.400000000000002,PS2,Activision,Misc
55,Just Dance 3,12.92,Wii,Ubisoft,Misc
56,Guitar Hero: World Tour,10.08,Wii,Activision,Misc
57,Just Dance 2,9.52,Wii,Ubisoft,Misc
58,Mario Party DS,9.02,DS,Nintendo,Misc
59,Just Dance 4,8.93,Wii,Ubisoft,Misc
60,Call of Duty: Modern Warfare 3,30.830000000000002,X360,Activision,Shooter
61,Call of Duty: Black Ops II,29.72,PS3,Activision,Shooter
62,Call of Duty: Black Ops,29.400000000000002,X360,Activision,Shooter
63,Duck Hunt,28.31,NES,Nintendo,Shooter
64,Call of Duty: Ghosts,27.38,X360,Activision,Shooter
65,Call of Duty: Black Ops 3,25.32,PS4,Activision,Shooter
66,Call of Duty: Modern Warfare 2,25.09,X360,Activision,Shooter
67,Call of Duty: Advanced Warfare,21.9,PS4,Activision,Shooter
68,Call of Duty 4: Modern Warfare,18.25,X360,Activision,Shooter
69,Battlefield 3,17.36,X360,Electronic Arts,Shooter
70,Nintendogs,24.76,DS,Nintendo,Simulation
71,The Sims 3,15.45,PC,Electronic Arts,Simulation
72,Animal Crossing: Wild World,12.27,DS,Nintendo,Simulation
73,Animal Crossing: New Leaf,9.09,3DS,Nintendo,Simulation
74,Cooking Mama,5.72,DS,505 Games,Simulation
75,MySims,5.3999999999999995,DS,Electronic Arts,Simulation
76,Tomodachi Life,5.15,3DS,Nintendo,Simulation
77,Microsoft Flight Simulator,5.12,PC,Microsoft Game Studios,Simulation
78,The Sims: Bustin' Out,4.98,PS2,Electronic Arts,Simulation
79,Animal Crossing: City Folk,4.68,Wii,Nintendo,Simulation
80,Grand Theft Auto V,55.92,PS3,Take-Two Interactive,Action
81,Grand Theft Auto: San Andreas,23.86,PS2,Take-Two Interactive,Action
82,Grand Theft Auto IV,22.47,X360,Take-Two Interactive,Action
83,Grand Theft Auto: Vice City,16.189999999999998,PS2,Take-Two Interactive,Action
84,FIFA Soccer 13,16.16,PS3,Electronic Arts,Action
85,LEGO Star Wars: The Complete Saga,15.75,Wii,LucasArts,Action
86,Assassin's Creed IV: Black Flag,13.16,PS3,Ubisoft,Action
87,Grand Theft Auto III,13.11,PS2,Take-Two Interactive,Action
88,Assassin's Creed III,13.1,PS3,Ubisoft,Action
89,Red Dead Redemption,12.94,PS3,Take-Two Interactive,Action
90,Super Smash Bros. Brawl,13.04,Wii,Nintendo,Fighting
91,Super Smash Bros. for Wii U and 3DS,12.469999999999999,3DS,Nintendo,Fighting
92,Mortal Kombat,8.4,PS3,Warner Bros. Interactive Entertainment,Fighting
93,WWE SmackDown vs Raw 2008,7.41,PS2,THQ,Fighting
94,Tekken 3,7.16,PS,Sony Computer Entertainment,Fighting
95,Street Fighter IV,7.140000000000001,PS3,Capcom,Fighting
96,Super Smash Bros. Melee,7.07,GC,Nintendo,Fighting
97,Street Fighter II: The World Warrior,6.3,SNES,Capcom,Fighting
98,Tekken 2,5.74,PS,Sony Computer Entertainment,Fighting
99,Fight Night Round 3,5.55,PS3,Electronic Arts,Fighting
100,Assassin's Creed,11.3,X360,Ubisoft,Adventure
101,Super Mario Land 2: 6 Golden Coins,11.18,GB,Nintendo,Adventure
102,L.A. Noire,5.95,PS3,Take-Two Interactive,Adventure
103,Zelda II: The Adventure of Link,4.38,NES,Nintendo,Adventure
104,Rugrats: Search For Reptar,3.34,PS,THQ,Adventure
105,Club Penguin: Elite Penguin Force,3.16,DS,Disney Interactive Studios,Adventure
106,Heavy Rain,3.12,PS3,Sony Computer Entertainment,Adventure
107,Myst,3.06,PC,Red Orb,Adventure
108,Minecraft: Story Mode,2.89,X360,Mojang,Adventure
109,Riven: The Sequel to Myst,2.75,PC,Red Orb,Adventure
110,Pokemon Stadium,5.45,N64,Nintendo,Strategy
111,Warzone 2100,5.01,PS,Eidos Interactive,Strategy
112,StarCraft II: Wings of Liberty,4.83,PC,Activision,Strategy
113,Warcraft II: Tides of Darkness,4.21,PC,Activision,Strategy
114,Pokémon Trading Card Game,3.7,GB,Nintendo,Strategy
115,Command & Conquer: Red Alert,3.2600000000000002,PC,Virgin Interactive,Strategy
116,Pokémon Stadium 2,2.73,N64,Nintendo,Strategy
117,Sim Theme Park,2.71,PC,Electronic Arts,Strategy
118,Halo Wars,2.63,X360,Microsoft Game Studios,Strategy
119,Theme Hospital,2.4899999999999998,PC,Electronic Arts,Strategy
